salary,title,company_name
competitive salary and equity,Senior Data Engineer,Hatch
competitive compensation,Sr. Software Engineer in Test,Blackpoint
nan,Machine Learning Engineer,Floy
best reasonable market rate,Data Scientist (AI/ML Engineer),N Consulting Ltd
nan,Software Engineer - AI Evals and Test,P 1ai
nan,Software Engineer - Engineering Data Infrastructure,P 1ai
nan,Sr. Software Engineer,Lyra Health
competitive base salary with significant stock options,Software Engineer II,RegScale
nan,Senior Backend Engineer,Thaloz
nan,Senior Software Engineer,Shippo
competitive salary,Senior Software Engineer - Data,Count
nan,Sr. Software Engineer,G-P
competitive base salary and equity grant,Front-End Engineer,Equilibrium Energy
nan,Senior React Full-stack Developer,Lemon.io
nan,Data Engineer,Zeelo
nan,System Architect,Addepto
competitive compensation package,Software Engineer II/Senior Software Engineer,Iambic Therapeutics
nan,ML & Data Engineer,CommentSold
nan,Solutions Engineer,Allium
base salary range + bonus + equity + benefits,Engineering Director,OpenX
nan,Senior Software Engineer - Artificial Intelligence,Rithum
nan,Senior Data Engineer,silver
nan,Junior Data Engineer,Addepto
nan,AI Solutions Specialist,Phoenix Software
nan,Full-Stack Software Engineer,Gradient AI
"competitive salary, founder's equity",AI Engineer,Persist Ventures
nan,Data Science / Machine Learning Engineer Intern,Demandbase
nan,Principal AI/Machine Learning Engineer,Skillsoft
nan,Staff Infrastructure Engineer,Sotheby's
nan,Senior Backend Engineer,Cow Dao
nan,SOC Deployment Engineer,Phoenix Software
nan,Senior Database Architect,DaCodes
nan,(Senior) Backend Engineer,TeleClinic GmbH
nan,Senior Software Engineer,People.ai
nan,Senior Client Platform Engineer,Ramp
competitive salary package,AI Specialist,ConnectOS
nan,Mid Level Full Stack Web Developer,Backblaze
nan,Senior Machine Learning Engineer,Paradigm Health
nan,Full Stack Developer,Shortpoint
nan,Software Architect,LanguageWire
nan,Senior Data Scientist,CUJU
nan,"Software Engineer III, Full Stack",Shippo
competitive salary package with bonuses or virtual stocks,Tech Lead / Staff Engineer,360dialog GmbH
meaningful salary and equity based on impact,Senior Product Software Engineer,Hive.co
"competitive compensation package including base salary, target bonus, and stock options",Senior Data Engineer,LeanTaaS
nan,Senior iOS Engineer,Fay
nan,Senior Machine Learning Engineer,Haus
nan,Senior Go Software Engineer,Synthflow
nan,Senior C++ Engineer,Eyeo
nan,Sr. Software Engineer,Crogl
competitive salary & benefits,"Lead Applied Scientist, Computer Vision",SafelyYou
nan,Data Science Manager,Lime
nan,Machine Learning Engineer,Artera
nan,Senior Software Engineer,Zencore
competitive compensation,Lead Machine Learning Scientist,OneSix - External
nan,Senior Data Scientist,Tali AI
nan,Senior Backend Engineer,DoiT
market leading compensation package,Senior Backend Software Developer,Varicent
nan,Senior Full-Stack Engineer,Public
nan,Senior Software Engineer,KnowBe4
nan,Senior Software Engineer,Partnerize
nan,Machine Learning Implementation Engineer,OfferFit
nan,Senior Data Scientist,The Internet of Behaviors Company
competitive salary and equity,"Senior Software Engineer, Registry",Wandb
nan,Fullstack Software Engineer - User Experience,Rithum
nan,Full Stack Engineer,Penbrothers
nan,Junior Data Engineer,Growe
nan,Identity Infrastructure Engineer,Techholding
competitive compensation and stock options,Senior Software Engineer,"Clarity Financial, Inc."
nan,Senior Machine Learning Engineer II,Apollo.io
competitive compensation,Senior Data Scientist,Vantage Analytics
nan,"Member of Technical Staff, Training Infra Engineer",Cohere
nan,Senior Software Engineer,Place Exchange
nan,Back End Developer,Game Plan Tech
nan,Data Engineer,Mitiga Solutions
meaningful salary and equity based on impact,Software Developer,Hive.co
competitive compensation and equity package,Senior Software Engineer,Augment
nan,Data Integrations Engineer,Timely
nan,Senior Data Engineer,Opendoor
"at market salary, meaningful equity",Senior Localization Engineer,Lilt
competitive compensation with equity,Sr. Software Engineer - React Native and Front End,Parkade
nan,Senior Backend Developer (Node.js),Tether
nan,Integrations Tech Lead,Carefeed
nan,Senior Software Engineer C++,Tether
nan,Senior Fullstack/Frontend Engineer,IronArch Technology
nan,WordPress Developer,Solvd
nan,Software Configuration Specialist II - Policy,LE008 Duck Creek Technologies India LLP
nan,Salesforce Developer,SafeGuard World Payroll Services Private Limited (India)
nan,"Manager, Software Development",Workleap
competitive salary & equity compensation,Engineering Manager,Hims And Hers
nan,iOS Developer,Teamified
competitive salary and benefits in line with local standards,Sr Software Security Lead Engineer,Accela
nan,Frontend Engineer,Cmgx
nan,Java Full-Stack Developer,Powdevs
nan,"Senior Developer, Back End(Ruby) - Discovery",Fullscript
"competitive base salary, performance bonus, startup equity",Senior Angular Frontend Developer,MyTime
"competitive, location-based",Software Engineer,Scout AI
competitive salaries based on your location,Senior Go Engineer,OnHires
nan,Senior Software Engineer II,SurveyMonkey
nan,Senior Full Stack Engineer,Humi
market leading compensation package,Senior JavaScript Engineer,Varicent
equity-based,Data Engineer (gRPC) - Early Team,Meetsta
market leading compensation package,"Senior JavaScript Engineer â€“ React, Node & GraphQL",Varicent
nan,Senior Software Engineer,"NewRocket, Inc."
nan,"Senior Developer, Backend(Ruby) - Practitioners Onboarding",Fullscript
nan,Senior Software Engineer,Airtasker
nan,Founding Software Engineer,Kalos
nan,"Domain Consultant (Systems Engineer), Network Security",Palo Alto Networks
annual performance bonus plan,Principal Data Scientist,SEEK
nan,Senior Data Architect,Abnormal
nan,Engineering Manager,Kin
"competitive salary, equity, and comprehensive benefits",Staff Android Engineer,TextNow
nan,Autonomy Engineer - Map Systems,Glydways
nan,Software Developer II,Valsoft Corporation Inc.
nan,Senior SIEM Engineer,Coalfire
nan,Front-End Web Developer,Xapo Bank
nan,Senior Full Stack Developer,Ubiminds
$xx - $xx,Staff Software Engineer,Headspace Sourcing
nan,Senior Application Security Engineer,Fortis Games
nan,Engineering Manager,Cookunity
nan,Staff Software Engineer,Ramp
industry-competitive salary and equity,"Senior Software Engineer, Developer Experience",Vanta
competitive salary,Full Stack Senior Developer,artlogic Staffpool GmbH
nan,Full Stack Developer,Practice Better
nan,Senior Developer,Veeam Software
nan,iOS Team Lead,OBRIO
nan,Backend PHP-Developer,Local Brand X GmbH
nan,Software Engineer,Cresta
nan,Senior Full Stack Engineer,Provectus
nan,Application Security Engineer,Sigma Software
nan,Solution Engineer,NeuraFlash
nan,C# Developer,Paramo Technologies
attractive salary package,Full Stack Developer,ARHS
nan,ERP Integration Consultant,Keywords Studios
nan,Senior Blockchain developer,TechMagic
nan,Middle .NET Developer,Sigma Software
nan,"Senior Backend Engineer, Growth",Moonpay
commensurate with experience,Mobile Software Engineer,Level Access
nan,Expert Software Engineer,Veradigm Asia
nan,Senior Software Engineer,Confluence
nan,Java Engineer,Neo Group
nan,Frontend Engineer,Drivetrain
nan,Engineering Manager,Snapsheet
competitive salary package,Engineering Manager,Masabi
competitive base compensation + performance-based incentives,Head of Developer Ecosystem,Thrive Protocol
nan,"Director, Software Engineering",G-P
nan,Senior Go Platform Engineer,Omni Network
nan,Senior Software Engineer,Leonardo.Ai
nan,Staff Software Engineer,Solace
nan,Engineering Manager,Solace
nan,Senior Backend Developer,Droids On Roids
nan,Salesforce Solutions Engineer,Tekton Labs
salary in eur!,Senior Backend Developer,Lodgify
nan,Senior Typescript Developer,SIDESTREAM
nan,Java Back-End Engineer,Trustly
competitive salary and benefits package,Senior Platform Engineer,Qdrant
nan,iOS Developer,Applaudo Studios
nan,Senior Microsoft Dynamics 365 (D365) Developer,Sylogist
nan,Senior Salesforce Developer,ciandt
nan,Senior Frontend Engineer,Inspiration Commerce Group
nan,.NET Software Architect,DoseSpot
competitive compensation & equity packages,Graphics Engine Software Engineer,Zoo
nan,Web3 Core Engineer,Brave
nan,Solutions Architect,Dynamic
competitive salary and startup equity,"Sr. Engineering Manager, Data Platform",Haus
nan,Design Systems Engineer,Magicschool
nan,Senior Fullstack Engineer,Earnin
nan,Full Stack Developer,Solink
nan,Senior Product Engineer,ICE
nan,Senior Machine Learning Engineer - Hardware Abstractions & Performance Optimization,Luma Ai
nan,C++ Developer,Veeam Software
"competitive salaries, potential equity compensation",Senior Software Engineer,Prompt
nan,Solution Architect,Neurons Lab.com
nan,Senior Software Engineer,Lwolf
competitive and market-aligned salary.,Sr Data Architect,Recargapay
nan,Senior Salesforce Developer,Workana
nan,Staff Software Engineer,Lime
nan,Software Engineer,Lucidworks
nan,Protocol Engineer,Conduit
nan,Senior Full-Stack Engineer,Amplio
competitive salaries + equity,Staff/Principal Level Engineer,Quotewell
nan,Staff Software Development Engineer,"ShipBob, Inc."
nan,Software Development Engineer II - Full Stack,"ShipBob, Inc."
nan,Senior Data Engineer,BlackStone eIT
nan,Senior .NET Developer,Ardanis
"competitive, market-informed compensation with equity","Manager, Software Engineering",Apollo GraphQL
competitive compensation & stock options,Senior Software Engineer,Getpluto
nan,"Data Analyst, Autonomy",Serve Robotics
nan,Data Analyst,Cube Asia
nan,Senior Data Analytics Engineer,Fullscript
nan,Senior HEOR Analyst,Innovaccer
nan,Data Tech Lead,Viseven
nan,Reporting and Metrics Analyst,Deepseas
nan,Head of Forecasting,Rentable
nan,Business Analyst,Trinetix
nan,Senior Data Analyst,Earnin
competitive salary,Senior Business Analytics Consultant,Shyftlabs
competitive salary,Junior Financial Research Associate,YipitData
competitive salary,Senior Data Analyst,Placer.ai
nan,Business Intelligence Analyst,AdsKeeper
nan,Senior Analyst - A/B Testing & Web Analytics,Kaufland e-commerce
nan,Senior Data Analyst,Atlan
nan,Data Analyst,Flyer One Ventures
nan,Analytics Engineer,Addi.
nan,BI & Data Analyst,Omilia
nan,Principal Analyst,Fortis Games
nan,AI Data Analyst,Rock Bund Capital
nan,Healthcare Data Analytics Manager,FlexTal Staffing LLC
nan,Data Analyst,Archive
nan,Senior Data Analyst,The Internet of Behaviors Company
nan,Senior Insight Analyst,UNiDAYS Ltd
attractive pay and benefits,Sr. Product Analytics Manager,Rula
competitive freelance compensation based on experience and skill,Data Analyst,Autone
nan,"Senior Manager, Statistical Programming",AbbVie
nan,Business Analyst,InfyStrat
nan,Principal Data and AI Strategy,PhData
nan,Security Data Analyst,KPMG Australia
nan,Data Quality Engineer,Mindera
nan,"Senior Manager, Data Modernization",Harbor
nan,Pricing Analyst,Henry Schein
nan,Data Architect,Inetum
nan,Data Analyst,Devsavant
competitive salary,Financial Crime Data Analyst,Capitex
nan,Data Analyst,Gen3 Marketing LLC
competitive salary dependent upon experience,Junior Risk Analyst,Tabby
nan,Business Analyst,tbi bank
nan,Senior Director of Business Intelligence and Strategic Analytics,Foodsmart
competitive salary,Revenue Intelligence Analyst,Jampp
competitive compensation packages including salary and equity,Senior Data Analyst- Business Intelligence,dbt Labs
nan,"Associate Director, Analytics",Barkley
nan,Senior Analytics Engineer,Lime
nan,Analytics Engineer,Atlan
nan,Senior Azure Data Consultant,Trility
nan,"Senior Analyst, Ads & Promotions Insights - Strategy & Operations",DoorDash Mexico
competitive compensation,Business Analyst,Buyers Edge Platform
competitive salary,Lead Business Analyst,Aker Systems
nan,Customer Data Platform Lead,Sotheby's
nan,Data Analyst,G-P
nan,Actuarial Analyst,InterWell Health
nan,Data Visualization Engineer,Cuesta Partners LLC
nan,Data Analyst,Kyivstar
base salary + commission opportunities,Analytics Engineer,Power Digital
